ID	TITLE	URL	PUBLISHER	CATEGORY	STORY	HOSTNAME	TIMESTAMP
400475	Weather Kills 2000 Americans A Year, Mainly From The Cold	http://www.huffingtonpost.com/2014/07/30/weather-kills_n_5632505.html\?utm_hp_ref=green	Huffington Post	m	dqqvwfEeMJ8k6EMzO0AJoyh2iGayM	www.huffingtonpost.com	1406732319737
313656	Art, Mental Illness and Frances Bean Cobain	http://www.huffingtonpost.com/michael-darer/art-mental-illness-and-frances-bean-cobain_b_5525265.html\?utm_hp_ref=arts&amp;ir=Arts	Huffington Post	e	d0vlph1zAaseN-MW0g6wAfoY_kFGM	www.huffingtonpost.com	1403653558606
406138	US STOCKS-Wall St up on GDP data; Twitter has biggest jump ever	http://www.reuters.com/article/2014/07/30/markets-usa-stocks-idUSL2N0Q517H20140730	Reuters	b	dEfdTocFn42Jg0MZxocww9TD8Z7zM	www.reuters.com	1406853545718
228972	Seth McFarlane takes aim at western genre	http://www.dailymail.co.uk/wires/aap/article-2634401/Seth-McFarlane-takes-aim-western-genre.html	Daily Mail	e	d48X4Y8QdpD97BMbJTN7TCubWn8PM	www.dailymail.co.uk	1400653319735
402976	'Sharknado 2' Is Set To Break The Internet, Twitter Be Warned	http://www.huffingtonpost.com/2014/07/30/sharknado-2-twitter_n_5633842.html	Huffington Post	e	dFn6sb4dXtciIDMotWsW8OhD37C0M	www.huffingtonpost.com	1406792643464
188720	Health insurers say majority of Obamacare enrollees have paid	http://www.dailymail.co.uk/news/article-2622360/Health-insurers-say-majority-Obamacare-enrollees-paid.html	Daily Mail	b	dYCf2TGDK77wZnMXak_cQOrqYTIdM	www.dailymail.co.uk	1399499114872
404032	Teenage Mutant Ninja Turtles: How Not To Market A Movie	http://www.contactmusic.com/article/teenage-mutant-ninja-turtles-movie-9	Contactmusic.com	e	dIdt3uYPvGXHMfMGjNKpBt2d9A8sM	www.contactmusic.com	1406799833360
389457	Lindsay Lohan - Lindsay Lohan Sparks Fresh Romance Rumours	http://www.contactmusic.com/story/lindsay-lohan-sparks-fresh-romance-rumours_4289785	Contactmusic.com	e	dNUjEv84-ww_8RMl39-Ekr72HN7ZM	www.contactmusic.com	1405646277050
172850	Justin Bieber 'takes Selena Gomez's frenemy Kendall Jenner to sushi dinner	http://www.dailymail.co.uk/tvshowbiz/article-2616053/What-Selena-say-Justin-Bieber-takes-Kendall-Jenner-Hailey-Baldwin-double-date.html	Daily Mail	e	dFXtL6lz5yh_I9MX3a4zodKcvkSiM	www.dailymail.co.uk	1398856041823
270817	Jonah Hill Hurls Anti-Gay Slur At Paparazzi	http://www.huffingtonpost.com/2014/06/03/jonah-hill-anti-gay-paparazzi_n_5437036.html	Huffington Post	e	dpeg-88KOPopnnMA4Id4nr9IXJFbM	www.huffingtonpost.com	1401830452449
70043	UPDATE 1-Medtronic valve for heart defects works well a year later-study	http://in.reuters.com/article/2014/03/30/health-heart-valve-idINL1N0MR0IP20140330	Reuters	m	dX_evGj2WSOCFGM-hteAsKC1q2wtM	in.reuters.com	1396240032771
45770	Kourtney Kardashian - Kourtney Kardashian: Family are experiencing changes	http://www.contactmusic.com/story/kourtney-kardashian-family-are-experiencing-changes_4123677	Contactmusic.com	e	dQuFFCUtQ8fO9yMEsAM6lucGCpdHM	www.contactmusic.com	1395831272443
157005	Pope Francis rang the divorced woman after she wrote to him for advice	http://www.dailymail.co.uk/news/article-2611292/A-little-bread-wine-does-no-harm-Pope-Francis-tells-divorced-woman-OK-communion.html	Daily Mail	e	dwgIXhnHmXUD5oMyV76O_P2EPDQ4M	www.dailymail.co.uk	1398340890084
163768	Dollar down vs. yen, Swiss franc as Ukraine tensions feed safety bid	http://www.reuters.com/article/2014/04/25/us-markets-forex-idUSBREA330R620140425	Reuters	b	dC9ETVy3LdO5BIMOFh1tWsika234M	www.reuters.com	1398461570861
148088	Jay Z - Jay Z Masters At Centre Of Alleged Extortion Plot	http://www.contactmusic.com/story/jay-z-masters-at-centre-of-alleged-extortion-plot_4162522	Contactmusic.com	e	dQIdHL0Egf4Y5jMt0F6iKz5q_TKRM	www.contactmusic.com	1398169273553
37005	Jimmy Kimmel Takes Funny Selfie With The Clinton Family	http://www.contactmusic.com/article/jimmy-kimmel-selfie-clinton_4122754	Contactmusic.com	e	dlA7yJ67K8Hk4GMzGyVGKni6lsaTM	www.contactmusic.com	1395628648549
43393	Taylor Swift obtains three-year restraining order against stalker	http://www.dailymail.co.uk/tvshowbiz/article-2589197/Taylor-Swift-obtains-three-year-restraining-order-against-stalker-vowed-murder-man-came-them.html	Daily Mail	e	dIHMZ936sAa9GBMF5AQFlilH9hAeM	www.dailymail.co.uk	1395779865577
115266	'I have a true passion for legs' Mad Men costume designer Janie Bryant unveils  ...	http://www.dailymail.co.uk/femail/article-2604620/I-true-passion-legs-Mad-Men-costume-designer-Janie-Bryant-unveils-upcoming-collection-couture-stockings.html	Daily Mail	e	dNuRntIycre1woM9qIuNHdWmaw27M	www.dailymail.co.uk	1397522288547
119237	Shakira picks 3 female finalists for her squad on The Voice	http://www.dailymail.co.uk/tvshowbiz/article-2604891/Shakira-picks-three-female-finalists-squad-The-Voice-judges-trim-teams-playoffs.html	Daily Mail	e	dSGXVmwg5MvGntMp2_5WslYAhaV-M	www.dailymail.co.uk	1397591241762
354568	Khloe Kardashian dons wrap dress slashed to the thigh at airport with French  ...	http://www.dailymail.co.uk/tvshowbiz/article-2680138/Khloe-Kardashian-dons-wrap-dress-slashed-thigh-airport-French-Montana-head-Las-Vegas-birthday-bash.html	Daily Mail	e	dHU6_w3g3k-ZJ3M7iSRWWopF8ACFM	www.dailymail.co.uk	1404461717849
32874	Mad Men stars Jessica Pare and Christina Hendricks at PaleyFest 2014	http://www.dailymail.co.uk/tvshowbiz/article-2586659/Mad-Men-stars-Jessica-Pare-Christina-Hendricks-ooze-retro-glamour-PaleyFest-2014.html	Daily Mail	e	dQMRQ72LOg_TxkMmaqtHLa50AhShM	www.dailymail.co.uk	1395518432504
320263	Demi Lovato Opens Up About Her Gay Family History	http://www.huffingtonpost.com/2014/06/25/demi-lovato-gay-grandfather_n_5529583.html	Huffington Post	e	dkdegl98lEqf8QMCBSDqQGZGr2QGM	www.huffingtonpost.com	1403797260741
180406	Factbox: What it would take for the ECB to vote on fresh action	http://in.reuters.com/article/2014/05/06/us-ecb-policy-idINBREA4508120140506	Reuters	b	d8DabtTlhPalvyMKxQ7tSGkTnN_9M	in.reuters.com	1399368924874
79069	'Dom Hemingway': Jude Law Takes A Gritty Role In A Low-Budget Meathead Of  ...	http://www.contactmusic.com/article/dom-hemingway-movie-jude-law-richard-shepard-richard-e-grant_4134814	Contactmusic.com	e	daL7jjsW8s679oMBYmlCxks4vxb0M	www.contactmusic.com	1396382691943
371038	NYMEX-US crude oil recoups some losses on Mideast tensions	http://in.reuters.com/article/2014/07/09/markets-asia-nymex-idINL4N0PJ4YD20140709	Reuters	b	dW3b5xNaJs17H5MzV90_aAon9iG0M	in.reuters.com	1404892127284
49598	These People Are Having A Really Hard Time Dealing With Gwyneth Paltrow  ...	http://www.huffingtonpost.com/2014/03/26/reaction-gwyneth-divorce_n_5036818.html	Huffington Post	e	dUav1xOMUQmAFmMVbYiah89xKisyM	www.huffingtonpost.com	1395887312360
306063	TE Connectivity to buy sensor maker for $1.7 billion	http://in.reuters.com/article/2014/06/19/us-measurementspecialties-offer-idINKBN0ET2SI20140619	Reuters	b	d7D4Tc9wsSFdrtMXV_jWo6IqTOZPM	in.reuters.com	1403193720599
